danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song,date,this_week,last_week,peak_position,weeks_on_chart
0.625,0.185,4,-10.635,1,0.0409,0.815,2.74e-05,0.117,0.565,110.723,audio_features,7cb19X9Bavre8c1kUR1cGH,spotify:track:7cb19X9Bavre8c1kUR1cGH,https://api.spotify.com/v1/tracks/7cb19X9Bavre8c1kUR1cGH,https://api.spotify.com/v1/audio-analysis/7cb19X9Bavre8c1kUR1cGH,143680,4,Jody Reynolds,Endless Sleep,1958-08-04,17,,17,1
0.625,0.185,4,-10.635,1,0.0409,0.815,2.74e-05,0.117,0.565,110.723,audio_features,7cb19X9Bavre8c1kUR1cGH,spotify:track:7cb19X9Bavre8c1kUR1cGH,https://api.spotify.com/v1/tracks/7cb19X9Bavre8c1kUR1cGH,https://api.spotify.com/v1/audio-analysis/7cb19X9Bavre8c1kUR1cGH,143680,4,Jody Reynolds,Endless Sleep,1958-08-11,20,17.0,17,2
0.668,0.457,7,-7.138,1,0.0637,0.493,0.0147,0.117,0.691,120.494,audio_features,398Q0gLfmsjJ5GFx9W2q5Y,spotify:track:398Q0gLfmsjJ5GFx9W2q5Y,https://api.spotify.com/v1/tracks/398Q0gLfmsjJ5GFx9W2q5Y,https://api.spotify.com/v1/audio-analysis/398Q0gLfmsjJ5GFx9W2q5Y,140504,4,The Olympics,Western Movies,1958-08-04,23,,23,1
0.668,0.457,7,-7.138,1,0.0637,0.493,0.0147,0.117,0.691,120.494,audio_features,398Q0gLfmsjJ5GFx9W2q5Y,spotify:track:398Q0gLfmsjJ5GFx9W2q5Y,https://api.spotify.com/v1/tracks/398Q0gLfmsjJ5GFx9W2q5Y,https://api.spotify.com/v1/audio-analysis/398Q0gLfmsjJ5GFx9W2q5Y,140504,4,The Olympics,Western Movies,1958-08-11,21,23.0,21,2
0.565,0.504,10,-8.708,1,0.0503,0.896,0.000829,0.206,0.88,148.943,audio_features,6RPUXnHn2nA65anY9XoVz2,spotify:track:6RPUXnHn2nA65anY9XoVz2,https://api.spotify.com/v1/tracks/6RPUXnHn2nA65anY9XoVz2,https://api.spotify.com/v1/audio-analysis/6RPUXnHn2nA65anY9XoVz2,110675,4,Johnny Cash And The Tennessee Two,Guess Things Happen That Way,1958-08-04,21,,21,1
0.565,0.504,10,-8.708,1,0.0503,0.896,0.000829,0.206,0.88,148.943,audio_features,6RPUXnHn2nA65anY9XoVz2,spotify:track:6RPUXnHn2nA65anY9XoVz2,https://api.spotify.com/v1/tracks/6RPUXnHn2nA65anY9XoVz2,https://api.spotify.com/v1/audio-analysis/6RPUXnHn2nA65anY9XoVz2,110675,4,Johnny Cash And The Tennessee Two,Guess Things Happen That Way,1958-08-11,22,21.0,21,2
0.301,0.158,1,-15.383,1,0.0368,0.593,1.28e-06,0.11,0.179,74.546,audio_features,7zCI47ILA6MAYXrlI487Hs,spotify:track:7zCI47ILA6MAYXrlI487Hs,https://api.spotify.com/v1/tracks/7zCI47ILA6MAYXrlI487Hs,https://api.spotify.com/v1/audio-analysis/7zCI47ILA6MAYXrlI487Hs,168093,3,Jerry Butler and The Impressions,For Your Precious Love,1958-08-04,15,,15,1
0.301,0.158,1,-15.383,1,0.0368,0.593,1.28e-06,0.11,0.179,74.546,audio_features,7zCI47ILA6MAYXrlI487Hs,spotify:track:7zCI47ILA6MAYXrlI487Hs,https://api.spotify.com/v1/tracks/7zCI47ILA6MAYXrlI487Hs,https://api.spotify.com/v1/audio-analysis/7zCI47ILA6MAYXrlI487Hs,168093,3,Jerry Butler and The Impressions,For Your Precious Love,1958-08-11,23,15.0,15,2
0.609,0.615,5,-13.838,1,0.0295,0.739,0.0,0.122,0.961,108.957,audio_features,6P1oWtsnapAwJ40swoD3tG,spotify:track:6P1oWtsnapAwJ40swoD3tG,https://api.spotify.com/v1/tracks/6P1oWtsnapAwJ40swoD3tG,https://api.spotify.com/v1/audio-analysis/6P1oWtsnapAwJ40swoD3tG,137533,4,The Rinky-Dinks,Early In The Morning,1958-08-04,52,,52,1
0.609,0.615,5,-13.838,1,0.0295,0.739,0.0,0.122,0.961,108.957,audio_features,6P1oWtsnapAwJ40swoD3tG,spotify:track:6P1oWtsnapAwJ40swoD3tG,https://api.spotify.com/v1/tracks/6P1oWtsnapAwJ40swoD3tG,https://api.spotify.com/v1/audio-analysis/6P1oWtsnapAwJ40swoD3tG,137533,4,The Rinky-Dinks,Early In The Morning,1958-08-11,24,52.0,24,2
0.678,0.658,2,-8.664,1,0.0303,0.235,0.0,0.361,0.65,89.376,audio_features,2WCeQuJ7pumP9zHBkKZACi,spotify:track:2WCeQuJ7pumP9zHBkKZACi,https://api.spotify.com/v1/tracks/2WCeQuJ7pumP9zHBkKZACi,https://api.spotify.com/v1/audio-analysis/2WCeQuJ7pumP9zHBkKZACi,139867,4,Buddy Knox with the Rhythm Orchids,Somebody Touched Me,1958-08-04,38,,38,1
0.678,0.658,2,-8.664,1,0.0303,0.235,0.0,0.361,0.65,89.376,audio_features,2WCeQuJ7pumP9zHBkKZACi,spotify:track:2WCeQuJ7pumP9zHBkKZACi,https://api.spotify.com/v1/tracks/2WCeQuJ7pumP9zHBkKZACi,https://api.spotify.com/v1/audio-analysis/2WCeQuJ7pumP9zHBkKZACi,139867,4,Buddy Knox with the Rhythm Orchids,Somebody Touched Me,1958-08-11,25,38.0,25,2
0.699,0.203,5,-16.538,0,0.0319,0.762,0.0,0.078,0.537,101.869,audio_features,3pHJK4HfvJ8nddZfsxMwTB,spotify:track:3pHJK4HfvJ8nddZfsxMwTB,https://api.spotify.com/v1/tracks/3pHJK4HfvJ8nddZfsxMwTB,https://api.spotify.com/v1/audio-analysis/3pHJK4HfvJ8nddZfsxMwTB,148533,4,Jimmie Rodgers,Are You Really Mine,1958-08-04,93,,93,1
0.699,0.203,5,-16.538,0,0.0319,0.762,0.0,0.078,0.537,101.869,audio_features,3pHJK4HfvJ8nddZfsxMwTB,spotify:track:3pHJK4HfvJ8nddZfsxMwTB,https://api.spotify.com/v1/tracks/3pHJK4HfvJ8nddZfsxMwTB,https://api.spotify.com/v1/audio-analysis/3pHJK4HfvJ8nddZfsxMwTB,148533,4,Jimmie Rodgers,Are You Really Mine,1958-08-11,26,93.0,26,2
0.502,0.566,0,-13.04,1,0.0435,0.794,6.61e-05,0.0799,0.969,170.14,audio_features,3eOPqWsjHNM73kL6j6z9cY,spotify:track:3eOPqWsjHNM73kL6j6z9cY,https://api.spotify.com/v1/tracks/3eOPqWsjHNM73kL6j6z9cY,https://api.spotify.com/v1/audio-analysis/3eOPqWsjHNM73kL6j6z9cY,156160,4,Bobby Freeman,Do You Want To Dance,1958-08-04,20,,20,1
0.502,0.566,0,-13.04,1,0.0435,0.794,6.61e-05,0.0799,0.969,170.14,audio_features,3eOPqWsjHNM73kL6j6z9cY,spotify:track:3eOPqWsjHNM73kL6j6z9cY,https://api.spotify.com/v1/tracks/3eOPqWsjHNM73kL6j6z9cY,https://api.spotify.com/v1/audio-analysis/3eOPqWsjHNM73kL6j6z9cY,156160,4,Bobby Freeman,Do You Want To Dance,1958-08-11,27,20.0,20,2
0.172,0.327,5,-9.99,1,0.0301,0.847,1.21e-06,0.282,0.188,89.482,audio_features,1a01Dy8Us8aEh1hT9tOEmW,spotify:track:1a01Dy8Us8aEh1hT9tOEmW,https://api.spotify.com/v1/tracks/1a01Dy8Us8aEh1hT9tOEmW,https://api.spotify.com/v1/audio-analysis/1a01Dy8Us8aEh1hT9tOEmW,168293,3,Johnny Mathis,A Certain Smile,1958-08-04,22,,22,1
0.172,0.327,5,-9.99,1,0.0301,0.847,1.21e-06,0.282,0.188,89.482,audio_features,1a01Dy8Us8aEh1hT9tOEmW,spotify:track:1a01Dy8Us8aEh1hT9tOEmW,https://api.spotify.com/v1/tracks/1a01Dy8Us8aEh1hT9tOEmW,https://api.spotify.com/v1/audio-analysis/1a01Dy8Us8aEh1hT9tOEmW,168293,3,Johnny Mathis,A Certain Smile,1958-08-11,28,22.0,22,2
0.308,0.444,2,-11.495,1,0.0332,0.73,1.41e-06,0.358,0.285,83.773,audio_features,4JtUrtgn1J8PWpgOxeCUYc,spotify:track:4JtUrtgn1J8PWpgOxeCUYc,https://api.spotify.com/v1/tracks/4JtUrtgn1J8PWpgOxeCUYc,https://api.spotify.com/v1/audio-analysis/4JtUrtgn1J8PWpgOxeCUYc,183380,4,The Four Lads,Enchanted Island,1958-08-04,29,,29,1
0.308,0.444,2,-11.495,1,0.0332,0.73,1.41e-06,0.358,0.285,83.773,audio_features,4JtUrtgn1J8PWpgOxeCUYc,spotify:track:4JtUrtgn1J8PWpgOxeCUYc,https://api.spotify.com/v1/tracks/4JtUrtgn1J8PWpgOxeCUYc,https://api.spotify.com/v1/audio-analysis/4JtUrtgn1J8PWpgOxeCUYc,183380,4,The Four Lads,Enchanted Island,1958-08-11,29,29.0,29,2
